Feuchtigkeit	SHT21	DPS310
%	C	C
13.96	37.18	34.11
13.96	37.19	34.11
13.96	37.20	34.15
13.93	37.21	34.15
13.92	37.21	34.15
13.93	37.22	34.16
13.93	37.23	34.16
13.93	37.23	34.15
13.93	37.24	34.21
13.93	37.24	34.21
13.89	37.25	34.16
13.89	37.25	34.19
13.89	37.26	34.19
13.85	37.27	34.24
13.85	37.28	34.24
13.85	37.29	34.22
13.82	37.32	34.29
13.82	37.33	34.29
13.82	37.34	34.29
13.82	37.34	34.30
13.82	37.34	34.30
13.82	37.35	34.32
13.82	37.36	34.32
13.82	37.37	34.34
13.82	37.38	34.38
13.79	37.39	34.38
13.79	37.40	34.45
13.79	37.41	34.41
13.79	37.41	34.41
13.75	37.41	34.44
13.79	37.43	34.44
13.79	37.43	34.47
13.75	37.44	34.47
13.75	37.45	34.47
13.75	37.45	34.53
13.75	37.45	34.53
13.75	37.47	34.53
13.75	37.47	34.54
13.75	37.47	34.53
13.75	37.47	34.53
13.75	37.48	34.52
13.75	37.47	34.52
13.75	37.45	34.51
13.75	37.47	34.47
13.75	37.47	34.47
13.75	37.48	34.53
13.75	37.49	34.52
13.70	37.50	34.52
13.70	37.49	34.52
13.70	37.49	34.52
13.70	37.49	34.55
13.70	37.50	34.57
13.70	37.51	34.57
13.70	37.51	34.61
13.70	37.52	34.60
13.70	37.52	34.60
13.66	37.53	34.61
13.66	37.53	34.57
13.66	37.53	34.57
13.66	37.54	34.57
13.66	37.53	34.57
13.66	37.54	34.55
13.66	37.54	34.55
13.68	37.54	34.55
13.66	37.54	34.57
13.66	37.55	34.60
13.66	37.54	34.60
13.66	37.54	34.55
13.66	37.53	34.55
13.66	37.53	34.49
13.66	37.53	34.47
13.68	37.55	34.47
13.68	37.55	34.47
13.66	37.55	34.51
13.68	37.55	34.51
13.66	37.55	34.47
13.64	37.55	34.47
13.68	37.55	34.46
13.68	37.56	34.51
13.64	37.57	34.51
13.64	37.56	34.52
13.64	37.57	34.52
13.64	37.57	34.52
13.64	37.57	34.49
13.64	37.57	34.52
13.64	37.58	34.52
13.64	37.58	34.54
13.64	37.58	34.54
13.64	37.58	34.50
13.64	37.59	34.47
13.64	37.59	34.47
13.64	37.59	34.47
13.64	37.59	34.47
13.64	37.58	34.47
13.64	37.58	34.46
13.64	37.58	34.46
13.64	37.58	34.42
13.64	37.59	34.43
13.60	37.59	34.43
13.64	37.59	34.45
13.60	37.59	34.45
13.64	37.61	34.45
13.64	37.61	34.47
13.64	37.62	34.47
13.64	37.62	34.47
13.64	37.62	34.48
13.60	37.64	34.48
13.60	37.65	34.52
13.60	37.66	34.60
13.60	37.67	34.60
13.60	37.68	34.63
